School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Kingston College,2139,2014,State High School,Secondary,Metropolitan,South East,Logan (C),61648.5,68100,90.5%
Kingston College,2139,2015,State High School,Secondary,Metropolitan,South East,Logan (C),73320.5,81922,89.5%
Kingston State School,1348,2011,State School,Primary,Metropolitan,South East,Logan (C),49945,55279,90.4%
Kingston State School,1348,2012,State School,Primary,Metropolitan,South East,Logan (C),53945.5,59176,91.2%
Kingston State School,1348,2013,State School,Primary,Metropolitan,South East,Logan (C),56829,63540,89.4%
Kingston State School,1348,2014,State School,Primary,Metropolitan,South East,Logan (C),64135.5,71350.5,89.9%
Kingston State School,1348,2015,State School,Primary,Metropolitan,South East,Logan (C),57962,65730.5,88.2%
Kioma State School,415,2011,State School,Primary,Remote,Darling Downs South West,Goondiwindi (R),861,870,99.0%
Kioma State School,415,2012,State School,Primary,Remote,Darling Downs South West,Goondiwindi (R),1211.5,1299,93.3%
Kioma State School,415,2013,State School,Primary,Remote,Darling Downs South West,Goondiwindi (R),1189,1234,96.4%
Kioma State School,415,2014,State School,Primary,Remote,Darling Downs South West,Goondiwindi (R),1825,1928,94.7%
Kioma State School,415,2015,State School,Primary,Remote,Darling Downs South West,Goondiwindi (R),1939,2017,96.1%
Kippa-Ring State School,616,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),41054,45040,91.2%
Kippa-Ring State School,616,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),37846.5,41341,91.5%
Kippa-Ring State School,616,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),35987.5,39805.5,90.4%
Kippa-Ring State School,616,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),35845,40324,88.9%
Kippa-Ring State School,616,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),33390.5,37005,90.2%
Kirwan State High School,2146,2011,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),167963,197386.5,85.1%
Kirwan State High School,2146,2012,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),169369.5,194235,87.2%
Kirwan State High School,2146,2013,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),172094,191449,89.9%
Kirwan State High School,2146,2014,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),176486,194440,90.8%
Kirwan State High School,2146,2015,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),192036,212528,90.4%
Kirwan State School,1862,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),67547,75996,88.9%
Kirwan State School,1862,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),68328,73533,92.9%
Kirwan State School,1862,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),72619,78271,92.8%
Kirwan State School,1862,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),80086,86207,92.9%
Kirwan State School,1862,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),77015,82360,93.5%
Kogan State School,1078,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2649,2916,90.8%
Kogan State School,1078,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2000.5,2087,95.9%
Kogan State School,1078,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),3610.5,3947,91.5%
Kogan State School,1078,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),3860,4432,87.1%
Kogan State School,1078,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),3554.5,4022.5,88.4%
Kolan South State School,279,2011,State School,Primary,Rural,North Coast,Bundaberg (R),10532,11145,94.5%
Kolan South State School,279,2012,State School,Primary,Rural,North Coast,Bundaberg (R),10347,11117,93.1%
Kolan South State School,279,2013,State School,Primary,Rural,North Coast,Bundaberg (R),11631.5,12505,93.0%
Kolan South State School,279,2014,State School,Primary,Rural,North Coast,Bundaberg (R),11776,12738,92.4%
Kolan South State School,279,2015,State School,Primary,Rural,North Coast,Bundaberg (R),11182.5,11831,94.5%
Koumala State School,1780,2011,State School,Primary,Rural,Central Queensland,Mackay (R),7884,8845,89.1%
Koumala State School,1780,2012,State School,Primary,Rural,Central Queensland,Mackay (R),7889.5,8792,89.7%
Koumala State School,1780,2013,State School,Primary,Rural,Central Queensland,Mackay (R),8032.5,8965,89.6%
Koumala State School,1780,2014,State School,Primary,Rural,Central Queensland,Mackay (R),9225.5,9983,92.4%
Koumala State School,1780,2015,State School,Primary,Rural,Central Queensland,Mackay (R),8672.5,9379,92.5%
Kowanyama State School,460,2011,State School,Combined,Remote,Far North Queensland,Kowanyama (S),10506.5,13691,76.7%
Kowanyama State School,460,2012,State School,Combined,Remote,Far North Queensland,Kowanyama (S),10571.5,14124,74.8%
Kowanyama State School,460,2013,State School,Combined,Remote,Far North Queensland,Kowanyama (S),12608,16480,76.5%
Kowanyama State School,460,2014,State School,Combined,Remote,Far North Queensland,Kowanyama (S),14957,19014,78.7%
Kowanyama State School,460,2015,State School,Combined,Remote,Far North Queensland,Kowanyama (S),13192.5,17770,74.2%
Kruger State School,1878,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),71493,79838.5,89.5%
Kruger State School,1878,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),77069.5,85010,90.7%
Kruger State School,1878,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),75744.5,84656,89.5%
Kruger State School,1878,2014,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),84583,93072,90.9%
Kruger State School,1878,2015,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),81449.5,89245,91.3%
Kulpi State School,1472,2011,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),766.5,805,95.2%
Kulpi State School,1472,2012,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),815.5,862,94.6%
Kulpi State School,1472,2013,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),769,811,94.8%
Kulpi State School,1472,2014,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),964,1012,95.3%
Kulpi State School,1472,2015,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),1010,1059,95.4%
Kuluin State School,1968,2011,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),66505.5,70654,94.1%
Kuluin State School,1968,2012,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),63641.5,68384,93.1%
Kuluin State School,1968,2013,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),64182,68679,93.5%
Kuluin State School,1968,2014,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),70221.5,75402,93.1%
Kuluin State School,1968,2015,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),61065.5,65654,93.0%
Kumbia State School,1423,2011,State School,Primary,Rural,Darling Downs South West,South Burnett (R),7386.5,7992,92.4%
Kumbia State School,1423,2012,State School,Primary,Rural,Darling Downs South West,South Burnett (R),7125.5,7509,94.9%
Kumbia State School,1423,2013,State School,Primary,Rural,Darling Downs South West,South Burnett (R),7091,7711,92.0%
Kumbia State School,1423,2014,State School,Primary,Rural,Darling Downs South West,South Burnett (R),8781,9415,93.3%
Kumbia State School,1423,2015,State School,Primary,Rural,Darling Downs South West,South Burnett (R),7402.5,8030,92.2%
Kuraby Special School,3040,2011,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),6837,7539,90.7%
Kuraby Special School,3040,2012,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),6866,7507,91.5%
Kuraby Special School,3040,2013,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),6344,7080,89.6%
Kuraby Special School,3040,2014,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),7014,7737,90.7%
Kuraby Special School,3040,2015,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),6471,7317,88.4%
Kuraby State School,1462,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),37355,39795,93.9%
Kuraby State School,1462,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),36807.5,40020,92.0%
Kuraby State School,1462,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),38547.5,41768.5,92.3%
Kuraby State School,1462,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),41920.5,45428,92.3%
Kuraby State School,1462,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),39714.5,43296,91.7%
Kuranda District State College,5689,2011,State School,Combined,Rural,Far North Queensland,Mareeba (S),32278,39254,82.2%
Kuranda District State College,5689,2012,State School,Combined,Rural,Far North Queensland,Mareeba (S),29883,36005,83.0%
Kuranda District State College,5689,2013,State School,Combined,Rural,Far North Queensland,Mareeba (S),31618.5,37730.5,83.8%
Kuranda District State College,5689,2014,State School,Combined,Rural,Far North Queensland,Mareeba (S),32019.5,39541,81.0%
Kuranda District State College,5689,2015,State School,Combined,Rural,Far North Queensland,Mareeba (S),32427,39742,81.6%
Kurwongbah State School,1958,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),73888,79271,93.2%
Kurwongbah State School,1958,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),77258.5,82746.5,93.4%
Kurwongbah State School,1958,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),78821.5,85120.5,92.6%
Kurwongbah State School,1958,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),89265,95732,93.2%
Kurwongbah State School,1958,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),86573.5,93380,92.7%
Labrador State School,443,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),78124,83846,93.2%
Labrador State School,443,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),80693,87559,92.2%
Labrador State School,443,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),76776,83047,92.4%
Labrador State School,443,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),84098.5,89878,93.6%
Labrador State School,443,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),84673.5,89917.5,94.2%
Laidley District State School,1676,2011,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),46195,50495,91.5%
Laidley District State School,1676,2012,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),42208.5,45791.5,92.2%
Laidley District State School,1676,2013,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),40180.5,44802,89.7%
Laidley District State School,1676,2014,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),40476,44690,90.6%
Laidley District State School,1676,2015,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),33892.5,36847,92.0%
Laidley State High School,2163,2011,State High School,Secondary,Rural,Darling Downs South West,Lockyer Valley (R),46176.5,53180,86.8%
Laidley State High School,2163,2012,State High School,Secondary,Rural,Darling Downs South West,Lockyer Valley (R),45323,51783.5,87.5%
Laidley State High School,2163,2013,State High School,Secondary,Rural,Darling Downs South West,Lockyer Valley (R),48043.5,56088,85.7%
Laidley State High School,2163,2014,State High School,Secondary,Rural,Darling Downs South West,Lockyer Valley (R),52549,60576,86.7%
Laidley State High School,2163,2015,State High School,Secondary,Rural,Darling Downs South West,Lockyer Valley (R),61491,68945,89.2%
Lake Clarendon State School,1009,2011,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),10678.5,11526,92.6%
Lake Clarendon State School,1009,2012,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),10180,11100,91.7%
Lake Clarendon State School,1009,2013,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),10006.5,11050,90.6%
Lake Clarendon State School,1009,2014,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),11435.5,12692,90.1%
Lake Clarendon State School,1009,2015,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),11749.5,12829,91.6%
Lakeland State School,202,2011,State School,Primary,Remote,Far North Queensland,Cook (S),842.5,899,93.7%
Lakeland State School,202,2012,State School,Primary,Remote,Far North Queensland,Cook (S),642,691,92.9%
Lakeland State School,202,2013,State School,Primary,Remote,Far North Queensland,Cook (S),920.5,1044,88.2%
Lakeland State School,202,2014,State School,Primary,Remote,Far North Queensland,Cook (S),1097.5,1169,93.9%
Lakeland State School,202,2015,State School,Primary,Remote,Far North Queensland,Cook (S),1279,1392,91.9%
Lakes Creek State School,67,2011,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),15653.5,16953,92.3%
Lakes Creek State School,67,2012,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),13302,14702,90.5%
Lakes Creek State School,67,2013,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),11517,12729.5,90.5%
Lakes Creek State School,67,2014,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),9950.5,11122,89.5%
Lakes Creek State School,67,2015,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),10671,11809,90.4%
Landsborough State School,349,2011,State School,Primary,Rural,North Coast,Sunshine Coast (R),23919,26065,91.8%
Landsborough State School,349,2012,State School,Primary,Rural,North Coast,Sunshine Coast (R),24566.5,27070,90.8%
Landsborough State School,349,2013,State School,Primary,Rural,North Coast,Sunshine Coast (R),23551,25996,90.6%
Landsborough State School,349,2014,State School,Primary,Rural,North Coast,Sunshine Coast (R),25333,27510,92.1%
Landsborough State School,349,2015,State School,Primary,Rural,North Coast,Sunshine Coast (R),24236.5,26591,91.1%
Laura State School,583,2011,State School,Primary,Remote,Far North Queensland,Cook (S),863.5,990,87.2%
Laura State School,583,2012,State School,Primary,Remote,Far North Queensland,Cook (S),546,576,94.8%
Laura State School,583,2013,State School,Primary,Remote,Far North Queensland,Cook (S),820,862,95.1%
Laura State School,583,2014,State School,Primary,Remote,Far North Queensland,Cook (S),1240,1455,85.2%
Laura State School,583,2015,State School,Primary,Remote,Far North Queensland,Cook (S),1337,1620,82.5%
Lawnton State School,329,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),15880.5,17226,92.2%
Lawnton State School,329,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),18511.5,20756,89.2%
Lawnton State School,329,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),20635.5,22873,90.2%
Lawnton State School,329,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),26229.5,29003,90.4%
Lawnton State School,329,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),31084,34028,91.3%
Leichhardt State School,1148,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),18540.5,20901,88.7%
Leichhardt State School,1148,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),18952,21002,90.2%
Leichhardt State School,1148,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),18954,22377.5,84.7%
